小狗,狗狗,汪汪,狗,小狗很可爱，喜欢蹦蹦跳跳，喜欢吃骨头，是一种特别忠诚的家中宠物。
麻雀,瓦雀,家雀,,麻雀身上的颜色一般是黑色、棕色，上面有斑点，体型小，生活在人多的地方，比如人类的屋顶上。
猎豹,印度豹,,,猎豹全身都有黑色的斑点，体型偏瘦，腿长，头小，一般生活在温带的草原，奔跑速度特别快，吃肉。
壁虎,,,,壁虎可以粘在墙上，并且可以在墙上爬行，当壁虎遇到危险时，会把自己的尾巴切断逃走，一般在夏天的晚上出现。
梅花鹿,,,,梅花鹿体型比鹿小，生活在森林或山地的草原，吃青草树叶，有的梅花鹿头上有角，有的没有。
恐龙,,,,恐龙是出现在很多很多年前的动物，体型庞大，现在已经灭绝，大多数的恐龙吃肉，也有一部分吃草和树叶。
仓鼠,,,,仓鼠体型小，身体胖胖的圆圆的，非常的可爱，有很多品种，长者尖利的门牙，身体颜色一般是黄褐色和黄棕色。
喜鹊,,,,喜鹊一般出现在人们生活的地区，可以吃昆虫、虫子等小动物，也吃稻子等植物。
乌鸦,老鸦,,,乌鸦一身黑色的羽毛，嘴大喜欢鸣叫，脾气凶猛，乌鸦什么都吃，比如果子，谷物，昆虫和其他鸟类的蛋。
金蝉,爬蚱,知了龟,蚱蝉,金蝉具有丰富的营养，经常被人们做成食物，一般在夏天炎热的晚上从土里钻出来。
知了,,,,金蝉长大后变成知了，知了会飞，一般会在夏天的中午鸣叫。
穿山甲,,,,穿山甲一般生长在山坡洞里，成年的穿山甲会爬树，它主要吃白蚁及其幼虫，还有蜜蜂，胡峰也可以当做它的食物。
河蚌,蚌壳,,,河蚌生活在水中，长着两个坚硬的外壳，外壳里是柔软的身体，可以生产珍珠，主要吃海藻等一些海中的小动物。
蝌蚪,,,,蝌蚪长大后会变成青蛙，小小的，黑黑的，有比头还长的尾巴，生活在小河里。
毛毛虫,,,,毛毛虫是一种小虫子，一般吃植物的叶子，身体颜色有绿色的，有褐色的，蠕动身体走路。
蝗虫,,,,蝗虫是一种飞行害虫，蝗虫长大后会成群结队的吃农作物，而且吃的速度非常快。
树袋熊,考拉,无尾熊,,树袋熊是澳大利亚的国宝，一天里有半天多都在睡觉，性格温顺，身体胖胖的，一般都是趴在树枝上，有一对大耳朵。
树懒,,,,树懒行动特别慢，有脚但是从不走路，都是生活在树上，主要吃树叶，嫩芽和果实。
狐狸,红狐,草狐,,狐狸嗅觉灵敏，耳朵也很灵，腿长可以跑的很快，吃一些鱼虾，鸟类，昆虫等小型动物。
蚂蚱,,,,蚂蚱，吃草，身体一般是绿色的，后腿很有劲，所以可以跳的很远很高，什么样的草地都可以看到它。
屎壳郎,屎比房,滚粪牛,,屎壳郎适应环境的能力特别强，全身是黑色或深褐色，什么都可以吃，甚至是动物的粪便。
蜘蛛,网虫,,,蜘蛛身体颜色大多是黑色的，有八条腿，一般附在自己织的蜘蛛网上，吃一些昆虫甚至自己的同类。
蜈蚣,百脚虫,天龙,,蜈蚣的身体一节一节的，身体内有毒素，常见的有红色，黑色等，害怕阳光，所以都是夜里出现，吃一些昆虫什么的。
